Country Name,Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,Adjusted savings: natural resources depletion (% of GNI) ,CO2 emissions (metric tons per capita) ,Energy use (kg of oil equivalent per capita) ,Forest area (% of land area) ,Agricultural land (% of land area) ,GDP growth (annual %) ,Net migration ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ",Population density (people per sq. km of land area) ,Renewable energy consumption (% of total final energy consumption) ,Tree Cover Loss (hectares) 
"Korea, Rep.",100,100,0.0178790151,9.982494185,4364.219091,66.40681466,19.42178627,4.308542714,-36504,23.59097074,497.5174084,0.87,8922
Kuwait,100,100,11.26363298,31.27431609,11757.02547,0.3114478114,8.417508418,10.60904498,68878,65.2862992,125.4434905,33.46428571,44687.5
Kyrgyz Republic,62.9,99.44230769,1.910285263,1.027970403,498.5427885,6.284098019,56.02189781,-0.1755154125,-27130,22.57651105,26.91657977,28.03,82
Lao PDR,2.1,57.2,5.370922966,0.2148106004,1014.377608,74.44865685,8.600519931,7.107568368,-24171,25.8689361,25.35948873,73.93,68327
Latvia,100,99.66556549,0.01576148183,3.446044062,2022.56433,53.13706269,27.86571745,10.72036596,-17620,17.02533531,35.97793562,36.3,40712
Lebanon,83.62142857,99.18357086,0.6087112858,3.721459456,1085.98174,13.46676442,63.83186706,2.68577931,1224,28.8068316,453.8654936,6.97,300
Lesotho,23.7,9.618612289,2.666490599,0.9616045926,16.68837842,1.137022398,76.64690382,3.466122481,-22692,27.37260881,65.13254282,55.31,2
Liberia,0.4,88.24690947,23.98554401,0.2044503934,5806.35967,83.79713455,15.7595816,5.281212453,101019,51.11912488,33.9111088,87.76,11324
Libya,64.1,90.11218262,22.23317146,9.079175592,3044.374036,0.1233276879,8.743762574,11.87075652,41035,43.8599594,3.31790468,2.61,22
Liechtenstein,74.31428571,100,4.600855896,6.617528018,1291.840888,41.8725,39.875,4.828076777,141,15.31405039,216.26875,49.87,6
Lithuania,100,99.3609314,0.1804567568,3.861276715,2662.800735,33.42373963,45.26164646,7.732367604,-35453,14.05574145,53.00778558,17.51,20385
Luxembourg,100,100,0.01036673847,25.61043774,9428.811286,34.06539624,50.10759538,2.482874748,6190,12.52862468,180.681774,1.87,68
Madagascar,1.1,16.03244019,5.582039664,0.09097618365,1659.167258,22.00420435,70.31846477,4.755845095,485,17.76292144,32.31449427,84.89,93628
Malawi,2.1,6.619356632,6.879177382,0.06697637,1193.378284,30.45927026,54.9427238,3.268726021,-31428,24.53315863,135.2953755,83.17,9445
Malaysia,98.1,98.74138641,12.13150842,6.440996321,2535.507347,58.80231319,21.71483792,5.332139161,245376,20.10216491,78.9028641,3.01,375420
Maldives,77.4,90.85275269,0.005054153164,2.041899823,732.856054,2.733333333,30,-11.22316606,195,13.30959933,1023.393333,1.95,4
Mali,0.9,18.15791702,2.887015534,0.113864739,755.5140815,10.89666363,33.10304133,6.534778775,-17436,59.6884795,10.80204804,82.33,83
Malta,100,100,3.866771483,6.503662396,2181.143737,1.09375,29.0625,3.383593722,456,15.31761524,1261.98125,0.14,8921.357143
Marshall Islands,31.1,75.73740387,2.022279658,2.188195889,533.7063143,52.22222222,47.22222222,1.784691405,-1637,10.02699513,301.8722222,18.38,2629
Mauritania,36.9,18.2,5.520352787,0.4806862394,1118.619148,0.3826913748,38.52721451,8.566287249,-18723,65.2745712,2.922635102,38.77,67902.78571
Mauritius,95.9,99.00126648,0.00640730222,2.411390478,945.7237672,19.78325123,47.29064039,1.77754302,-3221,16.20307148,605.0512315,17.65,174
Mexico,84.8,98.932728,4.688564789,4.098800784,1694.093928,34.80662054,54.82136886,2.113247115,-318048,23.14446696,54.24131382,10.31,206856
"Micronesia, Fed. Sts.",10.9,55.22730255,0.0103395409,1.101496304,1563.758384,91.42142857,7.857142857,2.041867164,-3055,10.89265862,158.4857143,1.35,3164.928571
Moldova,81.1,98.6,0.02417374068,2.829921235,1210.523765,10.92885375,75.9805412,7.500000149,-51269,18.4986738,100.5668883,4.27,110
Mongolia,26.6,86.2,8.712077485,4.320847278,1170.471485,9.150473846,73.29166784,7.253665438,-8663,25.01117947,1.64641174,5.34,7467
Montenegro,65.6,99.83022071,0.6633577372,3.263759216,1745.974431,47.21812571,34.76251088,4.180604509,-1986,25.70762668,249.7016473,47.61,172
Morocco,94,78.63751984,0.1733721115,1.432046541,487.7826894,12.52645082,67.19471208,3.19224973,-58941,32.57264648,68.18709836,20.13,1526
Mozambique,2.5,11.84832191,1.551497744,0.08456238483,420.0043105,50.96781454,49.03218546,6.31202378,-52323,22.00218626,25.70145985,93.67,150558
Myanmar,4.1,47.25225449,17.64277423,0.227478687,312.1266656,50.74469665,17.2385821,13.56895002,-185133,36.57941224,73.04467828,79.58,91847
Namibia,37.3,39.58395386,0.9065082033,1.286639682,675.3515907,9.357622466,47.15227927,2.529262658,-8195,24.55185999,2.384172041,34.54,64
Nauru,100,98.97237396,5.454405114,6.05737546,1463.049741,38.630982,20,-7.843137255,-234,5.69686128,515.9,21.98142857,8918.071429
Nepal,13.5,46.08046341,0.002203182395,0.1213082236,347.4065735,40.95845832,29.3128706,3.479181048,-238799,69.70727002,183.3631671,89.52,2758
Netherlands,100,100,0.2568804704,10.28966656,4989.46793,10.85574645,57.39632701,2.050876108,13610,15.30183547,483.4084123,2.74,1472
New Zealand,100,100,0.5500122319,8.280848593,4095.143085,37.40564354,44.47989062,3.353315797,19148,6.348300787,15.69974555,26.79,52519
Nicaragua,39.1,73.821815,0.1005738056,0.7954090049,524.5849526,39.83492604,43.62639189,4.282398363,-33283,23.06554667,45.32722287,52.76,95150
Niger,1,7.1,0.1847093482,0.05356240799,125.1111043,0.999447383,33.91884424,7.331868843,-9710,79.28608804,10.93804453,87.54,32416.07143
Nigeria,0.9,46.82321548,10.23136711,0.7026727359,749.5895779,26.43533494,72.74723586,6.438516525,-46749,67.47106169,154.2548854,84.01,13280
North Macedonia,62.4,99.05445099,0.114784774,4.360546038,1375.006566,37.71097129,48.28942194,4.724088642,-2250,37.15307677,80.09653952,19.03,1307
Norway,100,100,8.593409424,7.865911966,5802.71629,33.14907295,2.83646001,2.685122891,18467,8.168736987,12.65808884,58.56,24919
Oman,100,99.94677734,33.25586515,12.33070875,3938.228175,0.009693053312,4.733441034,2.490221143,-630,42.79003956,8.126630048,22.78785714,9827.357143
Pakistan,29.3,78.05709076,2.155200263,0.6974091692,438.7837325,5.581277242,46.65447281,7.276574436,-632467,55.20881643,226.1987573,47.96,948
Palau,52.5,98.91650733,4.600855896,11.43159699,1139.309855,87.10869565,9.347826087,3.959863679,-277,6.818266909,43.11086957,22.10857143,43
Panama,100,84.12281036,5.827513599,2.152657033,881.5666566,58.98661555,29.99730966,7.191279345,3843,16.00965098,44.46957224,22.77,12349
Papua New Guinea,6.3,14.1203022,25.01193196,0.6653363735,4202.132927,79.9991737,2.50187696,6.344795923,46016,14.99480834,14.35061167,58.56,39021
Paraguay,49.8,94.686886,1.859234526,0.6752934792,722.9456271,53.5638812,39.12695696,2.133490665,-42163,14.87514828,13.78524541,68.81,262651
Peru,56.65,77.173645,5.509971688,1.11171717,484.7619131,58.33891797,18.744375,6.285060325,-221582,28.12519868,21.99005234,38.35,163023
Philippines,40.6,79.82649994,0.3530351142,0.8832494312,450.4178875,23.72636415,38.08230204,4.942505119,-223074,26.98519517,289.3022437,31.22,49782
Poland,100,99.80590057,0.2825921889,7.89596453,2414.16179,30.01338426,51.92439526,3.506834614,-21324,26.83820327,124.5893154,7.22,82379
Portugal,100,100,0.1315084378,6.233623051,2519.004925,35.71116213,41.80485405,0.7818482159,17155,10.95942529,114.8281404,18.07,38934
